	verb	transitive	Table-base	unvocalized	unmarked	normalized	stamp	length	salim	weak
238	تَأَزَّحَ	ل	126	تأزح	تأزّح	تءزح	تزح	5	مضعف مهموز	صحيح
239	أَزَرَ	ل/م	53	أزر	أزر	ءزر	زر	3	مهموز	صحيح
240	أَزِرَ	ل	56	أزر	أزر	ءزر	زر	3	مهموز	صحيح
241	أَزَّرَ	م	112	أزر	أزّر	ءزر	زر	4	مضعف مهموز	صحيح
242	آزَرَ	ل/م	109	آزر	آزر	ءازر	زر	4	مهموز	صحيح
243	تَأَزَّرَ	ل	126	تأزر	تأزّر	تءزر	تزر	5	مضعف مهموز	صحيح
244	اِئْتَزَرَ	ل	114	ائتزر	ائتزر	اءتزر	تزر	5	مهموز	صحيح
245	اِتَّزَرَ	ل	118	اتزر	اتّزر	اتزر	تزر	5	مضعف	صحيح
246	أَزَّ	ل	59	أز	أزّ	ءز	ز	3	مضعف مهموز	صحيح
247	أَزَّ	ل/م	58	أز	أزّ	ءز	ز	3	مضعف مهموز	صحيح
248	تَأَزَّزَ	ل	126	تأزز	تأزّز	تءزز	تز	5	مضعف مهموز	صحيح
249	اِئْتَزَّ	ل	114	ائتز	ائتزّ	اءتز	تز	5	مضعف مهموز	صحيح
250	أَزِفَ	ل	56	أزف	أزف	ءزف	زف	3	مهموز	صحيح
251	آزَفَ	م	106	آزف	آزف	ءازف	زف	4	مهموز	صحيح
252	تَآزَفَ	ل	123	تآزف	تآزف	تءءزف	تزف	5	مهموز	صحيح
253	أَزَقَ	ل/م	54	أزق	أزق	ءزق	زق	3	مهموز	صحيح
254	تَأَزَّقَ	ل	126	تأزق	تأزّق	تءزق	تزق	5	مضعف مهموز	صحيح
255	أَزَلَ	ل/م	54	أزل	أزل	ءزل	زل	3	مهموز	صحيح
256	آزَلَ	ل	106	آزل	آزل	ءازل	زل	4	مهموز	صحيح
257	تَأَزَّلَ	ل	126	تأزل	تأزّل	تءزل	تزل	5	مضعف مهموز	صحيح
258	أَزَمَ	ل/م	54	أزم	أزم	ءزم	زم	3	مهموز	صحيح
259	أَزِمَ	ل	56	أزم	أزم	ءزم	زم	3	مهموز	صحيح
260	تَأَزَّمَ	ل	126	تأزم	تأزّم	تءزم	تزم	5	مضعف مهموز	صحيح
261	أَزا	ل	62	أزا	أزا	ءزا	ز	3	مهموز	ناقص واوي
262	أَزَى	ل	65	أزى	أزى	ءزى	ز	3	مهموز	ناقص يائي
263	أَزِيَ	ل	67	أزي	أزي	ءزي	ز	3	مهموز	صحيح
264	أَزَّى	م	113	أزى	أزّى	ءزى	ز	4	مضعف مهموز	ناقص
265	آزَى	ل	106	آزى	آزى	ءازى	ز	4	مهموز	ناقص يائي
266	آزَى	ل	111	آزى	آزى	ءازى	ز	4	مهموز	ناقص يائي
267	تَأَزَّى	ل	127	تأزى	تأزّى	تءزى	تز	5	مضعف مهموز	ناقص
268	تَآزَى	ل	125	تآزى	تآزى	تءءزى	تز	5	مهموز	ناقص
269	أَسِدَ	ل	56	أسد	أسد	ءسد	سد	3	مهموز	صحيح
270	أَسَّدَ	م	112	أسد	أسّد	ءسد	سد	4	مضعف مهموز	صحيح
271	آسَدَ	م/ل	106	آسد	آسد	ءاسد	سد	4	مهموز	صحيح
272	آسَدَ	ل	109	آسد	آسد	ءاسد	سد	4	مهموز	صحيح
273	تَأَسَّدَ	ل	126	تأسد	تأسّد	تءسد	تسد	5	مضعف مهموز	صحيح
274	اِسْتَأْسَدَ	ل	129	استأسد	استأسد	استءسد	ستسد	6	مهموز	صحيح
275	أَسَرَ	م	54	أسر	أسر	ءسر	سر	3	مهموز	صحيح
276	أَسِرَ	ل	56	أسر	أسر	ءسر	سر	3	مهموز	صحيح
277	اِسْتَأْسَرَ	م/ل	129	استأسر	استأسر	استءسر	ستسر	6	مهموز	صحيح
278	أَسَّ	ل/م	58	أس	أسّ	ءس	س	3	مضعف مهموز	صحيح
279	أَسَّسَ	م	112	أسس	أسّس	ءسس	س	4	مضعف مهموز	صحيح
280	أَسِفَ	ل	56	أسف	أسف	ءسف	سف	3	مهموز	صحيح
281	آسَفَ	م	106	آسف	آسف	ءاسف	سف	4	مهموز	صحيح
282	تَأَسَّفَ	ل	126	تأسف	تأسّف	تءسف	تسف	5	مضعف مهموز	صحيح
283	أَسُلَ	ل	57	أسل	أسل	ءسل	سل	3	مهموز	صحيح
284	أَسَّلَ	م	112	أسل	أسّل	ءسل	سل	4	مضعف مهموز	صحيح
285	تَأَسَّلَ	م	126	تأسل	تأسّل	تءسل	تسل	5	مضعف مهموز	صحيح
286	أَسَنَ	ل	53	أسن	أسن	ءسن	سن	3	مهموز	صحيح
287	أَسِنَ	ل	56	أسن	أسن	ءسن	سن	3	مهموز	صحيح
288	آسَنَ	م	106	آسن	آسن	ءاسن	سن	4	مهموز	صحيح
289	تَأَسَّنَ	ل	126	تأسن	تأسّن	تءسن	تسن	5	مضعف مهموز	صحيح
290	أَسا	ل/م	62	أسا	أسا	ءسا	س	3	مهموز	ناقص واوي
291	أَسَى	م	65	أسى	أسى	ءسى	س	3	مهموز	ناقص يائي
