	verb	transitive	Table-base	unvocalized	unmarked	normalized	stamp	length	salim	weak
11098	فَزَّ	ل	9	فز	فزّ	فز	فز	3	مضعف	صحيح
11099	فَزَّ	م	8	فز	فزّ	فز	فز	3	مضعف	صحيح
11100	أَفَزَّ	م	103	أفز	أفزّ	ءفز	فز	4	مضعف مهموز	صحيح
11101	تَفازَّ	ل	124	تفاز	تفازّ	تفاز	تفز	5	مضعف	صحيح
11102	اِسْتَفَزَّ	م	130	استفز	استفزّ	استفز	ستفز	6	مضعف	صحيح
11103	فَزَعَ	ل/م	3	فزع	فزع	فزع	فزع	3	سالم	صحيح
11104	فَزِعَ	ل/م	4	فزع	فزع	فزع	فزع	3	سالم	صحيح
11105	فَزَّعَ	م	112	فزع	فزّع	فزع	فزع	4	مضعف	صحيح
11106	أَفْزَعَ	م	102	أفزع	أفزع	ءفزع	فزع	4	مهموز	صحيح
11107	فَسَأَ	م	14	فسأ	فسأ	فسء	فس	3	مهموز	صحيح
11108	فَسِئَ	ل	15	فسئ	فسئ	فسء	فس	3	مهموز	صحيح
11109	فَسَّأَ	م	112	فسأ	فسّأ	فسء	فس	4	مضعف مهموز	صحيح
11110	تَفَسَّأَ	ل	126	تفسأ	تفسّأ	تفسء	تفس	5	مضعف مهموز	صحيح
11111	فَسَحَ	ل/م	3	فسح	فسح	فسح	فسح	3	سالم	صحيح
11112	فَسُحَ	ل	7	فسح	فسح	فسح	فسح	3	سالم	صحيح
11113	فَسَّحَ	م	112	فسح	فسّح	فسح	فسح	4	مضعف	صحيح
11114	أَفْسَحَ	م	102	أفسح	أفسح	ءفسح	فسح	4	مهموز	صحيح
11115	تَفَسَّحَ	ل	126	تفسح	تفسّح	تفسح	تفسح	5	مضعف	صحيح
11116	تَفاسَحَ	ل	123	تفاسح	تفاسح	تفاسح	تفسح	5	سالم	صحيح
11117	اِنْفَسَحَ	ل	119	انفسح	انفسح	انفسح	نفسح	5	سالم	صحيح
11118	فَسَخَ	ل/م	3	فسخ	فسخ	فسخ	فسخ	3	سالم	صحيح
11119	فَسِخَ	ل	4	فسخ	فسخ	فسخ	فسخ	3	سالم	صحيح
11120	فاسخَ	م	109	فاسخ	فاسخ	فاسخ	فسخ	4	سالم	صحيح
11121	أَفْسَخَ	م	102	أفسخ	أفسخ	ءفسخ	فسخ	4	مهموز	صحيح
11122	تَفَسَّخَ	ل	126	تفسخ	تفسّخ	تفسخ	تفسخ	5	مضعف	صحيح
11123	تَفاسَخَ	م/ل	123	تفاسخ	تفاسخ	تفاسخ	تفسخ	5	سالم	صحيح
11124	اِنْفَسَخَ	ل	119	انفسخ	انفسخ	انفسخ	نفسخ	5	سالم	صحيح
11125	فَسَدَ	ل	1	فسد	فسد	فسد	فسد	3	سالم	صحيح
11126	فَسَّدَ	م	112	فسد	فسّد	فسد	فسد	4	مضعف	صحيح
11127	فاسَدَ	م	109	فاسد	فاسد	فاسد	فسد	4	سالم	صحيح
11128	أَفْسَدَ	ل/م	102	أفسد	أفسد	ءفسد	فسد	4	مهموز	صحيح
11129	تَفاسَدَ	ل	123	تفاسد	تفاسد	تفاسد	تفسد	5	سالم	صحيح
11130	اِسْتَفْسَدَ	م	129	استفسد	استفسد	استفسد	ستفسد	6	سالم	صحيح
11131	فَسَرَ	م/ل	1	فسر	فسر	فسر	فسر	3	سالم	صحيح
11132	فَسَّرَ	م	112	فسر	فسّر	فسر	فسر	4	مضعف	صحيح
11133	اِسْتَفْسَرَ	م	129	استفسر	استفسر	استفسر	ستفسر	6	سالم	صحيح
11134	فَسَقَ	ل	1	فسق	فسق	فسق	فسق	3	سالم	صحيح
11135	فَسَّقَ	م	112	فسق	فسّق	فسق	فسق	4	مضعف	صحيح
11136	اِنْفَسَقَ	ل	119	انفسق	انفسق	انفسق	نفسق	5	سالم	صحيح
11137	فَسَلَ	م	1	فسل	فسل	فسل	فسل	3	سالم	صحيح
11138	فَسُلَ	ل	7	فسل	فسل	فسل	فسل	3	سالم	صحيح
11139	فَسَّلَ	م	112	فسل	فسّل	فسل	فسل	4	مضعف	صحيح
11140	أَفْسَلَ	م	102	أفسل	أفسل	ءفسل	فسل	4	مهموز	صحيح
11141	اِفْتَسَلَ	م	114	افتسل	افتسل	افتسل	فتسل	5	سالم	صحيح
11142	فَسا	ل	17	فسا	فسا	فسا	فس	3		ناقص واوي
11143	فَشَجَ	ل	2	فشج	فشج	فشج	فشج	3	سالم	صحيح
11144	فَشَّجَ	ل	112	فشج	فشّج	فشج	فشج	4	مضعف	صحيح
11145	تَفَشَّجَ	ل	126	تفشج	تفشّج	تفشج	تفشج	5	مضعف	صحيح
11146	فَشَخَ	م/ل	3	فشخ	فشخ	فشخ	فشخ	3	سالم	صحيح
11147	فَشَّخَ	ل	112	فشخ	فشّخ	فشخ	فشخ	4	مضعف	صحيح
11148	تَفَشَّخَ	ل	126	تفشخ	تفشّخ	تفشخ	تفشخ	5	مضعف	صحيح
11149	فَشَّ	ل/م	8	فش	فشّ	فش	فش	3	مضعف	صحيح
11150	أَفَشَّ	ل	103	أفش	أفشّ	ءفش	فش	4	مضعف مهموز	صحيح
11151	اِنْفَشَّ	ل	120	انفش	انفشّ	انفش	نفش	5	مضعف	صحيح
11152	فَشَغَ	ل/م	3	فشغ	فشغ	فشغ	فشغ	3	سالم	صحيح
11153	فَشِغَ	ل	4	فشغ	فشغ	فشغ	فشغ	3	سالم	صحيح
11154	فَشَّغَ	م	112	فشغ	فشّغ	فشغ	فشغ	4	مضعف	صحيح
11155	تَفَشَّغَ	ل/م	126	تفشغ	تفشّغ	تفشغ	تفشغ	5	مضعف	صحيح
11156	اِنْفَشَغَ	ل	119	انفشغ	انفشغ	انفشغ	نفشغ	5	سالم	صحيح
11157	فَشَقَ	م	1	فشق	فشق	فشق	فشق	3	سالم	صحيح
11158	فَشِقَ	ل	4	فشق	فشق	فشق	فشق	3	سالم	صحيح
11159	فاشَقَ	م	109	فاشق	فاشق	فاشق	فشق	4	سالم	صحيح
11160	تَفَشَّقَ	ل	126	تفشق	تفشّق	تفشق	تفشق	5	مضعف	صحيح
11161	فَشَلَ	م	1	فشل	فشل	فشل	فشل	3	سالم	صحيح
11162	فَشِلَ	ل	4	فشل	فشل	فشل	فشل	3	سالم	صحيح
11163	تَفَشَّلَ	ل	126	تفشل	تفشّل	تفشل	تفشل	5	مضعف	صحيح
11164	فَشا	ل	17	فشا	فشا	فشا	فش	3		ناقص واوي
11165	أَفْشَى	م	104	أفشى	أفشى	ءفشى	فش	4	مهموز	ناقص
11166	تَفَشَّى	ل/م	127	تفشى	تفشّى	تفشى	تفش	5	مضعف	ناقص
11167	فَصَحَ	م	3	فصح	فصح	فصح	فصح	3	سالم	صحيح
11168	فَصُحَ	ل	7	فصح	فصح	فصح	فصح	3	سالم	صحيح
11169	فَصَّحَ	م	112	فصح	فصّح	فصح	فصح	4	مضعف	صحيح
11170	أَفْصَحَ	ل	102	أفصح	أفصح	ءفصح	فصح	4	مهموز	صحيح
11171	تَفَصَّحَ	ل	126	تفصح	تفصّح	تفصح	تفصح	5	مضعف	صحيح
11172	تَفاصَحَ	ل	123	تفاصح	تفاصح	تفاصح	تفصح	5	سالم	صحيح
11173	فَصَدَ	م	2	فصد	فصد	فصد	فصد	3	سالم	صحيح
11174	فَصَّدَ	م	112	فصد	فصّد	فصد	فصد	4	مضعف	صحيح
11175	أَفْصَدَ	ل	102	أفصد	أفصد	ءفصد	فصد	4	مهموز	صحيح
11176	تَفَصَّدَ	ل	126	تفصد	تفصّد	تفصد	تفصد	5	مضعف	صحيح
11177	اِنْفَصَدَ	ل	119	انفصد	انفصد	انفصد	نفصد	5	سالم	صحيح
11178	اِفْتَصَدَ	م	114	افتصد	افتصد	افتصد	فتصد	5	سالم	صحيح
11179	فَصَّ	ل/م	9	فص	فصّ	فص	فص	3	مضعف	صحيح
11180	فَصَّصَ	م	112	فصص	فصّص	فصص	فص	4	مضعف	صحيح
11181	أَفَصَّ	م	103	أفص	أفصّ	ءفص	فص	4	مضعف مهموز	صحيح
11182	اِنْفَصَّ	ل	120	انفص	انفصّ	انفص	نفص	5	مضعف	صحيح
11183	اِفْتَصَّ	م	115	افتص	افتصّ	افتص	فتص	5	مضعف	صحيح
11184	اِسْتَفَصَّ	م	130	استفص	استفصّ	استفص	ستفص	6	مضعف	صحيح
11185	فَصَعَ	م	3	فصع	فصع	فصع	فصع	3	سالم	صحيح
11186	فَصَّعَ	ل/م	112	فصع	فصّع	فصع	فصع	4	مضعف	صحيح
11187	تَفَصَّعَ	ل	126	تفصع	تفصّع	تفصع	تفصع	5	مضعف	صحيح
11188	اِنْفَصَعَ	ل	119	انفصع	انفصع	انفصع	نفصع	5	سالم	صحيح
11189	اِفْتَصَعَ	ل/م	114	افتصع	افتصع	افتصع	فتصع	5	سالم	صحيح
11190	فَصَلَ	ل	1	فصل	فصل	فصل	فصل	3	سالم	صحيح
11191	فَصَلَ	ل/م	2	فصل	فصل	فصل	فصل	3	سالم	صحيح
11192	فَصَّلَ	م	112	فصل	فصّل	فصل	فصل	4	مضعف	صحيح
11193	فاصَلَ	م	109	فاصل	فاصل	فاصل	فصل	4	سالم	صحيح
11194	اِنْفَصَلَ	ل	119	انفصل	انفصل	انفصل	نفصل	5	سالم	صحيح
11195	اِفْتَصَلَ	م	114	افتصل	افتصل	افتصل	فتصل	5	سالم	صحيح
11196	فَصَمَ	م	2	فصم	فصم	فصم	فصم	3	سالم	صحيح
11197	فَصَّمَ	م	112	فصم	فصّم	فصم	فصم	4	مضعف	صحيح
11198	أَفْصَمَ	ل	102	أفصم	أفصم	ءفصم	فصم	4	مهموز	صحيح
11199	تَفَصَّمَ	ل	126	تفصم	تفصّم	تفصم	تفصم	5	مضعف	صحيح
11200	اِنْفَصَمَ	ل	119	انفصم	انفصم	انفصم	نفصم	5	سالم	صحيح
11201	فَصَى	م	21	فصى	فصى	فصى	فص	3		ناقص يائي
11202	فَصَّى	م	113	فصى	فصّى	فصى	فص	4	مضعف	ناقص
11203	أَفْصَى	ل	104	أفصى	أفصى	ءفصى	فص	4	مهموز	ناقص
11204	تَفَصَّى	ل/م	127	تفصى	تفصّى	تفصى	تفص	5	مضعف	ناقص
11205	اِنْفَصَى	ل	121	انفصى	انفصى	انفصى	نفص	5		ناقص
11206	تَفَضَّجَ	ل	126	تفضج	تفضّج	تفضج	تفضج	5	مضعف	صحيح
11207	فَضَحَ	م	3	فضح	فضح	فضح	فضح	3	سالم	صحيح
11208	تَفاضَحَ	ل	123	تفاضح	تفاضح	تفاضح	تفضح	5	سالم	صحيح
11209	اِفْتَضَحَ	م	114	افتضح	افتضح	افتضح	فتضح	5	سالم	صحيح
11210	فَضَخَ	م	3	فضخ	فضخ	فضخ	فضخ	3	سالم	صحيح
11211	أَفْضَخَ	ل	102	أفضخ	أفضخ	ءفضخ	فضخ	4	مهموز	صحيح
11212	اِنْفَضَخَ	ل	119	انفضخ	انفضخ	انفضخ	نفضخ	5	سالم	صحيح
11213	اِفْتَضَخَ	م	114	افتضخ	افتضخ	افتضخ	فتضخ	5	سالم	صحيح
11214	فَضَّ	م	8	فض	فضّ	فض	فض	3	مضعف	صحيح
11215	فَضَّضَ	م	112	فضض	فضّض	فضض	فض	4	مضعف	صحيح
11216	اِنْفَضَّ	ل	120	انفض	انفضّ	انفض	نفض	5	مضعف	صحيح
11217	اِفْتَضَّ	م	115	افتض	افتضّ	افتض	فتض	5	مضعف	صحيح
11218	فَضَلَ	ل	1	فضل	فضل	فضل	فضل	3	سالم	صحيح
11219	فَضُلَ	ل	7	فضل	فضل	فضل	فضل	3	سالم	صحيح
11220	فَضَّلَ	م	112	فضل	فضّل	فضل	فضل	4	مضعف	صحيح
11221	فاضَلَ	م/ل	109	فاضل	فاضل	فاضل	فضل	4	سالم	صحيح
11222	أَفْضَلَ	ل	102	أفضل	أفضل	ءفضل	فضل	4	مهموز	صحيح
11223	تَفَضَّلَ	ل	126	تفضل	تفضّل	تفضل	تفضل	5	مضعف	صحيح
11224	تَفاضَلَ	ل	123	تفاضل	تفاضل	تفاضل	تفضل	5	سالم	صحيح
11225	اِسْتَفْضَلَ	ل/م	19	استفضل	استفضل	استفضل	ستفضل	6	سالم	صحيح
11226	فَضا	ل/م	17	فضا	فضا	فضا	فض	3		ناقص واوي
11227	أَفْضَى	ل/م	104	أفضى	أفضى	ءفضى	فض	4	مهموز	ناقص
11228	فَطَأَ	ل/م	14	فطأ	فطأ	فطء	فط	3	مهموز	صحيح
11229	فَطِئَ	ل	15	فطئ	فطئ	فطء	فط	3	مهموز	صحيح
11230	فاطَأَ	م	109	فاطأ	فاطأ	فاطء	فط	4	مهموز	صحيح
11231	أَفْطَأَ	ل/م	102	أفطأ	أفطأ	ءفطء	فط	4	مهموز	صحيح
11232	تَفاطَأَ	ل	123	تفاطأ	تفاطأ	تفاطء	تفط	5	مهموز	صحيح
11233	فَطَحَ	ل/م	3	فطح	فطح	فطح	فطح	3	سالم	صحيح
11234	فَطِحَ	ل	4	فطح	فطح	فطح	فطح	3	سالم	صحيح
11235	فَطَّحَ	ل/م	112	فطح	فطّح	فطح	فطح	4	مضعف	صحيح
11236	فَطَرَ	ل/م	1	فطر	فطر	فطر	فطر	3	سالم	صحيح
11237	فَطَّرَ	م	112	فطر	فطّر	فطر	فطر	4	مضعف	صحيح
11238	أَفْطَرَ	ل/م	102	أفطر	أفطر	ءفطر	فطر	4	مهموز	صحيح
11239	تَفَطَّرَ	ل	126	تفطر	تفطّر	تفطر	تفطر	5	مضعف	صحيح
11240	اِنْفَطَرَ	ل	119	انفطر	انفطر	انفطر	نفطر	5	سالم	صحيح
11241	اِفْتَطَرَ	م	114	افتطر	افتطر	افتطر	فتطر	5	سالم	صحيح
11242	فَطَسَ	ل/م	2	فطس	فطس	فطس	فطس	3	سالم	صحيح
11243	فَطِسَ	ل	4	فطس	فطس	فطس	فطس	3	سالم	صحيح
11244	فَطَّسَ	م	112	فطس	فطّس	فطس	فطس	4	مضعف	صحيح
11245	فَطَمَ	م	2	فطم	فطم	فطم	فطم	3	سالم	صحيح
11246	أَفْطَمَ	ل	102	أفطم	أفطم	ءفطم	فطم	4	مهموز	صحيح
11247	اِنْفَطَمَ	ل	119	انفطم	انفطم	انفطم	نفطم	5	سالم	صحيح
11248	فَطَنَ	م	2	فطن	فطن	فطن	فطن	3	سالم	صحيح
11249	فَطِنَ	ل	4	فطن	فطن	فطن	فطن	3	سالم	صحيح
11250	فَطَّنَ	م	112	فطن	فطّن	فطن	فطن	4	مضعف	صحيح
11251	فاطَنَ	م	109	فاطن	فاطن	فاطن	فطن	4	سالم	صحيح
11252	تَفَطَّنَ	ل	126	تفطن	تفطّن	تفطن	تفطن	5	مضعف	صحيح
11253	فَظَّ	ل	10	فظ	فظّ	فظ	فظ	3	مضعف	صحيح
11254	اِفْتَظَّ	م	115	افتظ	افتظّ	افتظ	فتظ	5	مضعف	صحيح
11255	فَظُعَ	ل	7	فظع	فظع	فظع	فظع	3	سالم	صحيح
11256	فَظِعَ	ل	4	فظع	فظع	فظع	فظع	3	سالم	صحيح
11257	فَظَّعَ	م	112	فظع	فظّع	فظع	فظع	4	مضعف	صحيح
11258	أَفْظَعَ	ل/م	102	أفظع	أفظع	ءفظع	فظع	4	مهموز	صحيح
11259	اِسْتَفْظَعَ	م	129	استفظع	استفظع	استفظع	ستفظع	6	سالم	صحيح
11260	فَعَلَ	م	3	فعل	فعل	فعل	فعل	3	سالم	صحيح
11261	تَفاعَلَ	ل	123	تفاعل	تفاعل	تفاعل	تفعل	5	سالم	صحيح
11262	اِنْفَعَلَ	ل	119	انفعل	انفعل	انفعل	نفعل	5	سالم	صحيح
11263	اِفْتَعَلَ	م	114	افتعل	افتعل	افتعل	فتعل	5	سالم	صحيح
11264	فَعَمَ	م	3	فعم	فعم	فعم	فعم	3	سالم	صحيح
11265	فَعُمَ	ل	7	فعم	فعم	فعم	فعم	3	سالم	صحيح
11266	فَعِمَ	م	4	فعم	فعم	فعم	فعم	3	سالم	صحيح
11267	فَعَّمَ	م	112	فعم	فعّم	فعم	فعم	4	مضعف	صحيح
11268	أَفْعَمَ	م	102	أفعم	أفعم	ءفعم	فعم	4	مهموز	صحيح
11269	فَعَّى	م	113	فعى	فعّى	فعى	فع	4	مضعف	ناقص
11270	أَفْعَى	ل	104	أفعى	أفعى	ءفعى	فع	4	مهموز	ناقص
11271	تَفَعَّى	ل	127	تفعى	تفعّى	تفعى	تفع	5	مضعف	ناقص
11272	فَغَرَ	م	3	فغر	فغر	فغر	فغر	3	سالم	صحيح
11273	أَفْغَرَ	م	102	أفغر	أفغر	ءفغر	فغر	4	مهموز	صحيح
11274	اِنْفَغَرَ	ل	119	انفغر	انفغر	انفغر	نفغر	5	سالم	صحيح
11275	فَغَمَ	ل/م	3	فغم	فغم	فغم	فغم	3	سالم	صحيح
11276	فَغِمَ	ل	4	فغم	فغم	فغم	فغم	3	سالم	صحيح
11277	فَغَّمَ	م	112	فغم	فغّم	فغم	فغم	4	مضعف	صحيح
11278	أَفْغَمَ	م	102	أفغم	أفغم	ءفغم	فغم	4	مهموز	صحيح
11279	تَفَغَّمَ	ل	126	تفغم	تفغّم	تفغم	تفغم	5	مضعف	صحيح
11280	اِنْفَغَمَ	ل	119	انفغم	انفغم	انفغم	نفغم	5	سالم	صحيح
11281	اِفْتَغَمَ	ل	114	افتغم	افتغم	افتغم	فتغم	5	سالم	صحيح
11282	فَغا	ل/م	17	فغا	فغا	فغا	فغ	3		ناقص واوي
11283	فَغِيَ	ل	23	فغي	فغي	فغي	فغ	3	سالم	صحيح
11284	أَفْغَى	ل/م	104	أفغى	أفغى	ءفغى	فغ	4	مهموز	ناقص
11285	فَقَأَ	م	14	فقأ	فقأ	فقء	فق	3	مهموز	صحيح
11286	فَقَّأَ	م	112	فقأ	فقّأ	فقء	فق	4	مضعف مهموز	صحيح
11287	أَفْقَأَ	ل	102	أفقأ	أفقأ	ءفقء	فق	4	مهموز	صحيح
11288	تَفَقَّأَ	ل	126	تفقأ	تفقّأ	تفقء	تفق	5	مضعف مهموز	صحيح
11289	اِنْفَقَأَ	ل	119	انفقأ	انفقأ	انفقء	نفق	5	مهموز	صحيح
11290	فَقَحَ	ل	3	فقح	فقح	فقح	فقح	3	سالم	صحيح
11291	فَقَّحَ	ل	112	فقح	فقّح	فقح	فقح	4	مضعف	صحيح
11292	تَفَقَّحَ	ل	126	تفقح	تفقّح	تفقح	تفقح	5	مضعف	صحيح
11293	تَفاقَحَ	ل	123	تفاقح	تفاقح	تفاقح	تفقح	5	سالم	صحيح
11294	فَقَدَ	م	2	فقد	فقد	فقد	فقد	3	سالم	صحيح
11295	أَفْقَدَ	م	102	أفقد	أفقد	ءفقد	فقد	4	مهموز	صحيح
11296	تَفَقَّدَ	م	126	تفقد	تفقّد	تفقد	تفقد	5	مضعف	صحيح
11297	تَفاقَدَ	ل	123	تفاقد	تفاقد	تفاقد	تفقد	5	سالم	صحيح
11298	اِفْتَقَدَ	م	114	افتقد	افتقد	افتقد	فتقد	5	سالم	صحيح
11299	فَقَرَ	م	1	فقر	فقر	فقر	فقر	3	سالم	صحيح
11300	فَقِرَ	ل	4	فقر	فقر	فقر	فقر	3	سالم	صحيح
11301	فَقَّرَ	م/ل	112	فقر	فقّر	فقر	فقر	4	مضعف	صحيح
11302	أَفْقَرَ	ل/م	102	أفقر	أفقر	ءفقر	فقر	4	مهموز	صحيح
11303	تَفَقَّرَ	ل	126	تفقر	تفقّر	تفقر	تفقر	5	مضعف	صحيح
11304	تَفاقَرَ	ل	123	تفاقر	تفاقر	تفاقر	تفقر	5	سالم	صحيح
11305	اِفْتَقَرَ	ل	114	افتقر	افتقر	افتقر	فتقر	5	سالم	صحيح
11306	فَقَسَ	ل/م	2	فقس	فقس	فقس	فقس	3	سالم	صحيح
11307	تَفاقَسَ	ل	123	تفاقس	تفاقس	تفاقس	تفقس	5	سالم	صحيح
11308	اِنْفَقَسَ	ل	119	انفقس	انفقس	انفقس	نفقس	5	سالم	صحيح
11309	فَقَشَ	م	2	فقش	فقش	فقش	فقش	3	سالم	صحيح
11310	فَقَّطَ	م	112	فقط	فقّط	فقط	فقط	4	مضعف	صحيح
11311	فَقَعَ	ل/م	3	فقع	فقع	فقع	فقع	3	سالم	صحيح
11312	فَقَّعَ	ل/م	112	فقع	فقّع	فقع	فقع	4	مضعف	صحيح
11313	تَفَقَّعَ	ل	126	تفقع	تفقّع	تفقع	تفقع	5	مضعف	صحيح
11314	تَفاقَعَ	ل	123	تفاقع	تفاقع	تفاقع	تفقع	5	سالم	صحيح
11315	اِنْفَقَعَ	ل	119	انفقع	انفقع	انفقع	نفقع	5	سالم	صحيح
11316	فَقَّ	ل	9	فق	فقّ	فق	فق	3	مضعف	صحيح
11317	فَقَّ	م	8	فق	فقّ	فق	فق	3	مضعف	صحيح
11318	اِنْفَقَّ	ل	120	انفق	انفقّ	انفق	نفق	5	مضعف	صحيح
11319	فَقَمَ	م	1	فقم	فقم	فقم	فقم	3	سالم	صحيح
11320	فَقُمَ	ل	7	فقم	فقم	فقم	فقم	3	سالم	صحيح
11321	فَقِمَ	ل	4	فقم	فقم	فقم	فقم	3	سالم	صحيح
11322	تَفاقَمَ	ل	123	تفاقم	تفاقم	تفاقم	تفقم	5	سالم	صحيح
11323	فَقُهَ	ل	7	فقه	فقه	فقه	فقه	3	سالم	صحيح
11324	فَقِهَ	م	4	فقه	فقه	فقه	فقه	3	سالم	صحيح
11325	فَقَّهَ	م	112	فقه	فقّه	فقه	فقه	4	مضعف	صحيح
11326	فاقَهَ	م	109	فاقه	فاقه	فاقه	فقه	4	سالم	صحيح
11327	أَفْقَهَ	م	102	أفقه	أفقه	ءفقه	فقه	4	مهموز	صحيح
11328	تَفَقَّهَ	ل/م	126	تفقه	تفقّه	تفقه	تفقه	5	مضعف	صحيح
11329	فَكَرَ	ل	2	فكر	فكر	فكر	فكر	3	سالم	صحيح
11330	فَكَّرَ	ل/م	112	فكر	فكّر	فكر	فكر	4	مضعف	صحيح
11331	أَفْكَرَ	ل	102	أفكر	أفكر	ءفكر	فكر	4	مهموز	صحيح
11332	تَفَكَّرَ	ل	126	تفكر	تفكّر	تفكر	تفكر	5	مضعف	صحيح
11333	اِفْتَكَرَ	ل	114	افتكر	افتكر	افتكر	فتكر	5	سالم	صحيح
11334	فَكَّ	م	8	فك	فكّ	فك	فك	3	مضعف	صحيح
11335	فَكَّ	ل	10	فك	فكّ	فك	فك	3	مضعف	صحيح
11336	فَكَّكَ	م	112	فكك	فكّك	فكك	فك	4	مضعف	صحيح
11337	أَفَكَّ	ل	103	أفك	أفكّ	ءفك	فك	4	مضعف مهموز	صحيح
11338	تَفَكَّكَ	ل	126	تفكك	تفكّك	تفكك	تفك	5	مضعف	صحيح
11339	اِنْفَكَّ	ل	120	انفك	انفكّ	انفك	نفك	5	مضعف	صحيح
11340	اِفْتَكَّ	م	115	افتك	افتكّ	افتك	فتك	5	مضعف	صحيح
11341	اِسْتَفَكَّ	م	130	استفك	استفكّ	استفك	ستفك	6	مضعف	صحيح
11342	فَكَنَ	ل	1	فكن	فكن	فكن	فكن	3	سالم	صحيح
11343	تَفَكَّنَ	ل	126	تفكن	تفكّن	تفكن	تفكن	5	مضعف	صحيح
11344	فَكِهَ	ل	4	فكه	فكه	فكه	فكه	3	سالم	صحيح
11345	فَكَّهَ	م	112	فكه	فكّه	فكه	فكه	4	مضعف	صحيح
11346	فاكَهَ	م	109	فاكه	فاكه	فاكه	فكه	4	سالم	صحيح
11347	أَفْكَهَ	ل	102	أفكه	أفكه	ءفكه	فكه	4	مهموز	صحيح
11348	تَفَكَّهَ	ل	126	تفكه	تفكّه	تفكه	تفكه	5	مضعف	صحيح
11349	تَفاكَهَ	ل	123	تفاكه	تفاكه	تفاكه	تفكه	5	سالم	صحيح
11350	فَلَتَ	ل	2	فلت	فلت	فلت	فلت	3	سالم	صحيح
11351	فَلَّتَ	م	112	فلت	فلّت	فلت	فلت	4	مضعف	صحيح
11352	فالَتَ	م	109	فالت	فالت	فالت	فلت	4	سالم	صحيح
11353	أَفْلَتَ	ل/م	102	أفلت	أفلت	ءفلت	فلت	4	مهموز	صحيح
11354	تَفَلَّتَ	ل	126	تفلت	تفلّت	تفلت	تفلت	5	مضعف	صحيح
11355	اِنْفَلَتَ	ل	119	انفلت	انفلت	انفلت	نفلت	5	سالم	صحيح
11356	اِفْتَلَتَ	م	114	افتلت	افتلت	افتلت	فتلت	5	سالم	صحيح
11357	اِسْتَفْلَتَ	م	129	استفلت	استفلت	استفلت	ستفلت	6	سالم	صحيح
11358	فَلَجَ	ل/م	1	فلج	فلج	فلج	فلج	3	سالم	صحيح
11359	فَلِجَ	ل	4	فلج	فلج	فلج	فلج	3	سالم	صحيح
11360	فَلَّجَ	م	112	فلج	فلّج	فلج	فلج	4	مضعف	صحيح
11361	فالَجَ	م	109	فالج	فالج	فالج	فلج	4	سالم	صحيح
11362	أَفْلَجَ	م	102	أفلج	أفلج	ءفلج	فلج	4	مهموز	صحيح
11363	تَفَلَّجَ	ل	126	تفلج	تفلّج	تفلج	تفلج	5	مضعف	صحيح
11364	فَلَحَ	ل/م	3	فلح	فلح	فلح	فلح	3	سالم	صحيح
11365	فَلِحَ	ل	4	فلح	فلح	فلح	فلح	3	سالم	صحيح
11366	فَلَّحَ	ل	112	فلح	فلّح	فلح	فلح	4	مضعف	صحيح
11367	أَفْلَحَ	ل	102	أفلح	أفلح	ءفلح	فلح	4	مهموز	صحيح
11368	تَفَلَّحَ	ل	126	تفلح	تفلّح	تفلح	تفلح	5	مضعف	صحيح
11369	اِنْفَلَحَ	ل	119	انفلح	انفلح	انفلح	نفلح	5	سالم	صحيح
11370	اِسْتَفْلَحَ	ل	129	استفلح	استفلح	استفلح	ستفلح	6	سالم	صحيح
11371	فَلَذَ	م	2	فلذ	فلذ	فلذ	فلذ	3	سالم	صحيح
11372	فَلَّذَ	م	112	فلذ	فلّذ	فلذ	فلذ	4	مضعف	صحيح
11373	فالَذَ	م	109	فالذ	فالذ	فالذ	فلذ	4	سالم	صحيح
11374	اِفْتَلَذَ	م	114	افتلذ	افتلذ	افتلذ	فتلذ	5	سالم	صحيح
11375	فَلِسَ	ل	4	فلس	فلس	فلس	فلس	3	سالم	صحيح
11376	فَلَّسَ	م	112	فلس	فلّس	فلس	فلس	4	مضعف	صحيح
11377	أَفْلَسَ	ل/م	102	أفلس	أفلس	ءفلس	فلس	4	مهموز	صحيح
11378	فَلَّصَ	م	112	فلص	فلّص	فلص	فلص	4	مضعف	صحيح
11379	أَفْلَصَ	ل	102	أفلص	أفلص	ءفلص	فلص	4	مهموز	صحيح
11380	تَفَلَّصَ	ل	126	تفلص	تفلّص	تفلص	تفلص	5	مضعف	صحيح
11381	فَلَعَ	م	3	فلع	فلع	فلع	فلع	3	سالم	صحيح
11382	فَلَّعَ	م	112	فلع	فلّع	فلع	فلع	4	مضعف	صحيح
11383	تَفَلَّعَ	ل	126	تفلع	تفلّع	تفلع	تفلع	5	مضعف	صحيح
11384	اِنْفَلَعَ	ل	119	انفلع	انفلع	انفلع	نفلع	5	سالم	صحيح
11385	فَلَغَ	م	3	فلغ	فلغ	فلغ	فلغ	3	سالم	صحيح
11386	تَفَلَّغَ	ل	126	تفلغ	تفلّغ	تفلغ	تفلغ	5	مضعف	صحيح
11387	فَلَقَ	ل/م	2	فلق	فلق	فلق	فلق	3	سالم	صحيح
11388	فَلَّقَ	م	112	فلق	فلّق	فلق	فلق	4	مضعف	صحيح
11389	أَفْلَقَ	ل	102	أفلق	أفلق	ءفلق	فلق	4	مهموز	صحيح
